,School Name,Locality,City,Phone Number,Details
285,Guru Gobind Singh Public School," Opposite House No. 118, Phase 9 ","Mohali - 160059, Punjab, India"," (0172)-5094030, 2211861
                          ","['Play - Class V', 'Private School', 'Co-Educational School']"
286,Guru Gobind Singh Vidya Mandir Senior Secondary School," Ratwara Sahib, P.O. Mullanpur, Garibdas ","Mohali - 140901, Punjab, India", (0160)-2255003,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2001']"
287,Gurukul Vatika," SCO 12-13, 3rd Floor, Mandi Board Complex, Sector 65-A ","Mohali - 160062, Punjab, India", (0172)-5096370,"['Play - Nursery', 'Private School', 'Co-Educational School']"
288,Gurukul World School," Sector 69, SAS Nagar ","Mohali - 160069, Punjab, India", (0172)-2216666,"['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2010']"
289,Hebron International School," SCO 14, Zirakpur, Near Chandigarh ","Mohali - 140603, Punjab, India", (0172)-2529200,"['Nursery - Class V', 'Private School', 'Co-Educational School']"
290,Heritage Public School - HPHS," Near Sector 48 Motor Market, Jagatpura ","Mohali - 160017, Punjab, India","  8699046574, 9916255527
                          ","['Play - Class XII', 'PSEB - Punjab School Education Board', 'Private School', 'Co-Educational School']"
291,Hollyhock Nursery School," 18(Opposite House No. 36), Sector 71 ","Mohali - 160071, Punjab, India","  9815875665
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
292,Holy Mary's School," Chandigarh Patiala Road, P.O. Banur ","Mohali - 140601, Punjab, India", (0172)-252597,"['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
293,Indus Public School," Niashahar Badala, Kharar ","Mohali - 140301, Punjab, India", (0160)-3299457,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
294,Infant Jesus Convent School," Phase 11, Sector 65 ","Mohali - 160062, Punjab, India"," (0172)-2232008, 2232007
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2006']"
295,ISA Blue Bells Academy," Railway Road, Tarn Taran ","Mohali - 143401, Punjab, India","  9872114466
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
296,Jack n Jill," SCF 64, 3rd Floor Phase 3, B-2
 ","Mohali - 140110, Punjab, India", (0172)-463370,"['Play - Nursery', 'Private School', 'Co-Educational School']"
297,JLPL School, Sector 91 ,"Mohali - 140104, Punjab, India","  7307645566
                          ","['Play - Class VI', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2013']"
298,Kendriya Vidyalaya - KV Zirakpur," Zirakpur, 'K' Area ","Mohali - 140603, Punjab, India", (01762)-270844,"['Class V - Class XII', 'CBSE Board', 'Government School (Kendriya Vidyalaya)', 'Co-Educational School']"
299,Kidzee," D-28A, Sector 15, New Chandigarh ","Mohali, Punjab, India","  9592677555, 9466131509
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
300,Kidzee - Gillco Valley," 438, Gillco Valley, Kharar, SAS Nagar ","Mohali, Punjab, India","  7380000848
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
301,Kidzee - Kharar," House No. 2126, Ground Floor, Sector 125, Sunny Enclave, Kharar ","Mohali - 140201, Punjab, India","  9988796966
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
302,Kidzee - Mullanpur," No. 275, Mullanpur ","Mohali - 141422, Punjab, India","  9592677555
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
303,Kidzee - Nayagaon," No. 909, Gali No. 5 Vikas Nagar Tehsil Majri ","Mohali, Punjab, India", (01795)-222565,"['Play - Nursery', 'Private School', 'Co-Educational School']"
304,Kidzee - Saraswati Vihar," Street No. 1, Saraswati Vihar, Ward No. 12 S.A.S. Nagar ","Mohali - 140507, Punjab, India","  8968478877
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
305,Lakshmi Tara Rathour Public School," Sialba-Majri, An-EX Serviceman's Undertaking ","Mohali - 140110, Punjab, India"," (0160)-2643633
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
306,Lala Deep Chand Jain Public School," Village Mehmadpur, Derabassi, District - S.A.S. Nagar ","Mohali - 140507, Punjab, India"," (01762)-280235, 280035, 284069, 645895","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
307,Lawerance Learning Lounge," (0172)-2218386, 4603466",one_iphone,"
","['Play - Nursery', 'Private School', 'Co-Educational School']"
308,Lawrence Public Senior Secondary School, Sector 51 ,"Mohali - 160062, Punjab, India"," (0172)-2234986, 2234985","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
309,Learning Paths School," Site No. 66, Plot No. 3, Sector 67 ","Mohali - 160062, Punjab, India", (0172)-5134300,"['CBSE Board', 'Private School', 'Co-Educational School']"
310,Lemmon World School," Mohali-Fathgarh Sahib Road, Near Chandigarh Engineering Collage, Landra ","Mohali, Punjab, India","  9501336655
                          ","['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
311,Little Chikoos Daycare and Playschool, Sector 71 ,"Mohali - 160071, Punjab, India","  9501366349
                          ","['Play School', 'Private School', 'Co-Educational School']"
312,London Kids Preschool," Shop No. 6, First Floor, Furniture Market Police Chowki Road, Ravinder Singh Sohi Marg, Sector 19 ","Mohali - 140604, Punjab, India","  8569077298
                          ","['Play School', 'Private School', 'Co-Educational School']"
313,Lord Mahavir Jain Public School," Near Railway Crossing, Dera Bassi ","Mohali - 140507, Punjab, India"," (01762)-281017, 284844","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2002']"
314,Manav Mangal Smart School, Sector 64 (Phase X) ,"Mohali - 160057, Punjab, India"," (0172)-4669900, 4689900
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1968']"
315,Mata Sahib Kaur Public School," Village - Swara, P.O. Landran, Tehsil - Kharar, District - S.A.S Nagar ","Mohali - 160059, Punjab, India", (0172)-2250921,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
316,Max Aruther Macaulife Public School," 1106, PH-5, SAS Nagar ","Mohali - 160055, Punjab, India"," (0172)-2272739
                          ","['Private School', 'Co-Educational School']"
317,Mehar Model High School," Near Government School, Village - Kambala ","Mohali - 160055, Punjab, India","  9814861370
                          ","['High Secondary School', 'Private School', 'Co-Educational School']"
318,Mind Tree School - Kharar," Off Kharar - Kurali Road, Opposite Jamuna Apartments, Kharar Greater ","Mohali - 140301, Punjab, India","  9216032222
                          ","['Kindergarten - Class III', 'CBSE Board', 'Private School', 'Co-Educational School']"
319,Mount Carmel School, Sector 69 ,"Mohali - 160069, Punjab, India","  9041043654, 9041043655
                          ","['Play - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
320,Mount Litera Zee School," Mubarakpur, Sundra Road, Derabassi
 ","Mohali - 140507, Punjab, India","  9888060734
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
321,Narayana e-Techno School," Plot No. 149, Sector 117 ","Mohali - 140301, Punjab, India","  8360662921
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
322,National Public School," Morinda Road, Kurali ","Mohali - 140103, Punjab, India","  8699071081, 8699092081
                          ","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
323,Oakridge International School, Next to Thunderzone Amusement Park ,"Mohali - 140301, Punjab, India", (0160)-6536111,"['Nursery - Class X', 'CBSE Board', 'Private School (International)', 'Co-Educational School']"
324,Paragon Senior Secondary School," Plot No. 1, Opp. ACE Heart and Vascular Institute, Sector 69, SAS Nagar ","Mohali - 160062, Punjab, India","  9888736552, 9872769379, 9501516199
                          ","['Play - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1987']"
325,Path Finder High School," Sector 69, SAS Nagar ","Mohali - 160069, Punjab, India", (0172)-5099654,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
326,Pinkys Preschool and Day Care," House No. 388, Sector 65, Phase 11, S.A.S. Nagar ","Mohali - 140110, Punjab, India","  9915314410
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
327,Red Bishop Kidzhome," #33, Krishna Enclave, DhakoliI, Zirakhpur ","Mohali - 160104, Punjab, India","  8872029002
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
328,Rose Playway School," Budda Ashram, Near DC Office, Phase 1, SAS Nagar ","Mohali - 160055, Punjab, India","  9417769021
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
329,Ryan International School," Opposite ISB Sector 66, SAS Nagar ","Mohali - 160062, Punjab, India"," (0172)-2240206, 2240207","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
330,Sacred Souls' School, Gharuan Kharar ,"Mohali - 140413, Punjab, India","  8437574445, 8437774445
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 2004']"
331,Saint Soldier International Convent School," Phase 7, Mohali, SAS Nagar ","Mohali - 160062, Punjab, India"," (0172)-4617261, 4614880","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1994']"
332,Sanjay Public School, Sector 70 ,"Mohali - 160070, Punjab, India"," (0172)-5091575
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
333,Sant Isher Singh Public School," Sant Isher Public School, Phase 7 ","Mohali - 160059, Punjab, India"," (0172)-4674574, 2220415, 2218415
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
334,Saupin's School," Plot #16, Sector 70 ","Mohali - 160071, Punjab, India"," (0172)-2216123, 2216778","['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
335,Sesame Street Preschool," Villa No. 12, Sector 114, Ansal Golf Link-1 ","Mohali - 140307, Punjab, India","  9899236160, 8837537410
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
336,Shemrock Foundation School - 2," Street No. 13/14, Shakti Nagar ","Mohali - 140507, Punjab, India","  9914604055
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
337,Shemrock Senior Secondary School," Plot No. 2, Sector 69 ","Mohali - 160055, Punjab, India", (0172)-2216234,"['Nursery - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
338,Sherwood Convent School," Phase 4, S.A.S. Nagar ","Mohali - 160059, Punjab, India"," (0172)-2268801, 2225279
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
339,Shishu Niketan Public School, Sector 66 ,"Mohali - 160062, Punjab, India", (0172)-6533966,"['Class V - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School', 'Established in 1953']"
340,Shivalik Public School, Phase 6 ,"Mohali - 160055, Punjab, India"," (0172)-2225486
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
341,Sir Mcauliff High School," Plot No. 15, Phase XI, Sector 65, SAS Nagar ","Mohali - 160055, Punjab, India", (0172)-2232015,"['High Secondary School', 'Private School', 'Co-Educational School', 'Established in 1996']"
342,Small Wonders School," Opposite House No. 2900, Phase 7 ","Mohali - 160055, Punjab, India"," (0172)-2274834, 2274827, 5090834
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
343,Smart Kids," Opp. # 1678, Phase 10, Sector  64 ","Mohali - 140055, Punjab, India", (0172)-4623586,"['Play - Class I', 'Private School', 'Co-Educational School']"
344,Smart Wonders School, Sector 71 ,"Mohali - 160071, Punjab, India"," (0172)-2270063, 2270064, 2270065","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
345,Spring Valley Kindercare," Opposite # 2422, Phase XI ","Mohali - 160062, Punjab, India", (0172)-2230015,"['Nursery - Kindergarten', 'Private School', 'Co-Educational School', 'Established in 2000']"
346,St. Agnes School," 90, New Defence Colony, Back Side Lucky Dhaba, Zirakpur ","Mohali - 140603, Punjab, India"," (0176)-2509690
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
347,St. Ezra International Senior Secondary School," (Kharar-Morinda Road), Kharar ","Mohali - 140301, Punjab, India","  9876607740
                          ","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
348,St. Paul's International School, Phase 6 ,"Mohali - 160055, Punjab, India"," (0172)-2270040
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
349,St. Soldier International Convent School," Phase 7, SAS Nagar ","Mohali - 160059, Punjab, India"," (0172)-4617261, 4614880","['Senior Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
350,St. Xavier's High School," Sector 71, S.A.S. Nagar ","Mohali - 160071, Punjab, India", (0172)-2227833,"['High Secondary School', 'ICSE/ISC Board', 'Private School', 'Co-Educational School']"
351,Star Public School," Dividing Road, Sector 69, Opposite PSEB Hosuing Complex ","Mohali - 160062, Punjab, India"," (0172)-2217355
                          ","['Play - Class X', 'PSEB - Punjab School Education Board', 'Private School', 'Co-Educational School']"
352,Swami Ram Tirtha Smart School," Phase - 4, SAS Nagar ","Mohali - 160055, Punjab, India", (0172)-2227409,"['Class X - Class XII', 'CBSE Board', 'Private School', 'Co-Educational School']"
353,The British School, Sector 70 ,"Mohali - 160071, Punjab, India", (0172)-4653000,"['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
354,The Gurukul," Savitry Greens II, Zirakpur ","Mohali - 140603, Punjab, India","  8968833300
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
355,The Millennium School," Plot No. 1, Phase 5, Sector 59 ","Mohali - 160059, Punjab, India"," (0172)-2222201, 2222202, 2222203
                          ","['High Secondary School', 'CBSE Board', 'Private School', 'Co-Educational School']"
356,The Poly Kids - Zirakpur," 203 Tower 10, Royal Estate, Chandigarh-Ambala Highway, Zirakpur ","Mohali - 140603, Punjab, India","  9501717656
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
357,Tiny Tots Foundation School," Plot No. 5, Phase 10 ","Mohali - 160064, Punjab, India", (0172)-2232822,"['Play - Nursery', 'Private School', 'Co-Educational School']"
358,Vivek High School, Sector 70 ,"Mohali - 160071, Punjab, India"," (0172)-4625747, 4621747
                          ","['Nursery - Class X', 'CBSE Board', 'Private School', 'Co-Educational School']"
359,Woodsbury - The kindergarten Village," Plot No. L - 64 Opposite H.No. 737, Phase 10, Sector 64, Sahibzada Ajit Singh Nagar ","Mohali - 160064, Punjab, India"," (0172)-4655100
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
360,Wowkids Little Seeds," House No. 51, Sector 61, Phase 7 ","Mohali - 160062, Punjab, India","  9988811222
                          ","['Play - Nursery', 'Private School', 'Co-Educational School']"
361,Yadavindra Public School - YPS," Sector 51, S.A.S. Nagar ","Mohali - 160062, Punjab, India", (0172)-2232850,"['Senior Secondary School', 'ICSE/ISC Board', 'Private School', 'Co-Educational School', 'Established in 1979']"
